game_id,filename,bytes,n_frames,gameId_field
895613020,battle_895613020.json,234541,499,895613020
895613021,battle_895613021.json,256608,547,895613021
895613032,battle_895613032.json,221061,485,895613032
895613033,battle_895613033.json,239549,525,895613033
895613048,battle_895613048.json,308608,623,895613048
895613049,battle_895613049.json,342890,691,895613049
895613101,battle_895613101.json,268416,581,895613101
895613102,battle_895613102.json,243918,523,895613102
895613120,battle_895613120.json,298088,635,895613120
895613121,battle_895613121.json,292547,619,895613121
895613153,battle_895613153.json,337707,647,895613153
895613154,battle_895613154.json,16852,31,895613154
895613181,battle_895613181.json,252632,551,895613181
895613182,battle_895613182.json,271087,591,895613182
895613229,battle_895613229.json,178878,375,895613229
895613230,battle_895613230.json,98498,209,895613230
895613423,battle_895613423.json,260073,567,895613423
895613424,battle_895613424.json,251175,551,895613424
895613487,battle_895613487.json,208630,455,895613487
895613488,battle_895613488.json,318698,693,895613488
895613496,battle_895613496.json,162588,347,895613496
895613497,battle_895613497.json,15126,31,895613497
895613502,battle_895613502.json,419539,847,895613502
895613503,battle_895613503.json,258290,521,895613503
895613523,battle_895613523.json,377640,811,895613523
895613524,battle_895613524.json,364708,791,895613524
895613535,battle_895613535.json,193867,369,895613535
895613536,battle_895613536.json,150464,287,895613536
895613537,battle_895613537.json,131101,277,895613537
895613538,battle_895613538.json,190487,403,895613538
895613544,battle_895613544.json,230084,499,895613544
895613546,battle_895613546.json,214400,467,895613546
895613556,battle_895613556.json,273394,601,895613556
895613557,battle_895613557.json,383140,833,895613557
895613565,battle_895613565.json,199366,435,895613565
895613566,battle_895613566.json,312719,683,895613566
895613572,battle_895613572.json,217533,461,895613572
895613573,battle_895613573.json,173705,371,895613573
895613575,battle_895613575.json,163319,349,895613575
895613576,battle_895613576.json,169973,363,895613576
895613586,battle_895613586.json,135022,291,895613586
895613587,battle_895613587.json,146079,313,895613587
895613592,battle_895613592.json,229840,467,895613592
895613593,battle_895613593.json,297157,605,895613593
895613598,battle_895613598.json,139453,297,895613598
895613599,battle_895613599.json,162771,347,895613599
895613604,battle_895613604.json,161570,349,895613604
895613605,battle_895613605.json,180303,385,895613605
895613608,battle_895613608.json,307712,663,895613608
895613609,battle_895613609.json,163284,347,895613609
895613619,battle_895613619.json,173042,369,895613619
895613620,battle_895613620.json,222298,475,895613620
895613625,battle_895613625.json,106808,223,895613625
895613626,battle_895613626.json,291179,617,895613626
895613631,battle_895613631.json,232938,509,895613631
895613632,battle_895613632.json,186881,411,895613632
895613635,battle_895613635.json,216340,449,895613635
895613636,battle_895613636.json,191667,401,895613636
895613643,battle_895613643.json,142041,295,895613643
895613644,battle_895613644.json,153215,313,895613644
895613653,battle_895613653.json,202499,431,895613653
895613654,battle_895613654.json,192451,411,895613654
895613661,battle_895613661.json,229136,467,895613661
895613662,battle_895613662.json,232629,471,895613662
895613664,battle_895613664.json,328847,715,895613664
895613665,battle_895613665.json,342864,741,895613665
895613679,battle_895613679.json,288700,613,895613679
895613680,battle_895613680.json,278694,593,895613680
895613684,battle_895613684.json,304405,653,895613684
895613685,battle_895613685.json,302438,651,895613685
895613691,battle_895613691.json,194675,415,895613691
895613692,battle_895613692.json,237486,509,895613692
895613708,battle_895613708.json,176673,385,895613708
895613709,battle_895613709.json,209279,459,895613709
895613712,battle_895613712.json,220854,471,895613712
895613713,battle_895613713.json,177823,381,895613713
895613716,battle_895613716.json,354577,767,895613716
895613717,battle_895613717.json,298781,649,895613717
895613726,battle_895613726.json,139629,303,895613726
895613727,battle_895613727.json,124399,273,895613727
895613729,battle_895613729.json,167927,363,895613729
895613730,battle_895613730.json,215270,471,895613730
895613739,battle_895613739.json,186559,405,895613739
895613740,battle_895613740.json,147544,317,895613740
895613746,battle_895613746.json,276454,583,895613746
895613747,battle_895613747.json,349721,733,895613747
895613775,battle_895613775.json,165603,317,895613775
895613776,battle_895613776.json,190424,363,895613776
895613779,battle_895613779.json,235949,513,895613779
895613780,battle_895613780.json,219977,481,895613780
895613784,battle_895613784.json,195090,427,895613784
895613785,battle_895613785.json,224650,491,895613785
895613797,battle_895613797.json,372804,809,895613797
895613798,battle_895613798.json,430624,931,895613798
895613813,battle_895613813.json,221988,487,895613813
895613814,battle_895613814.json,229910,507,895613814
895613823,battle_895613823.json,343034,705,895613823
895613824,battle_895613824.json,345725,711,895613824
895613833,battle_895613833.json,257973,561,895613833
895613834,battle_895613834.json,331668,721,895613834
895613857,battle_895613857.json,335259,735,895613857
895613858,battle_895613858.json,281071,619,895613858
895613878,battle_895613878.json,191436,415,895613878
895613879,battle_895613879.json,171515,373,895613879
895613890,battle_895613890.json,292604,615,895613890
895613891,battle_895613891.json,230635,485,895613891
895613907,battle_895613907.json,141012,305,895613907
895613908,battle_895613908.json,130441,277,895613908
895613915,battle_895613915.json,281416,613,895613915
895613916,battle_895613916.json,246115,539,895613916
895613924,battle_895613924.json,363508,799,895613924
895613925,battle_895613925.json,320803,699,895613925
895613940,battle_895613940.json,258318,563,895613940
895613941,battle_895613941.json,232639,511,895613941
895613951,battle_895613951.json,139581,303,895613951
895613952,battle_895613952.json,241391,525,895613952
895613960,battle_895613960.json,346604,759,895613960
895613961,battle_895613961.json,344191,749,895613961
895613976,battle_895613976.json,92123,201,895613976
895613977,battle_895613977.json,106164,231,895613977
895613980,battle_895613980.json,379500,781,895613980
895613981,battle_895613981.json,482099,989,895613981
895613998,battle_895613998.json,162283,353,895613998
895613999,battle_895613999.json,144885,313,895613999
895614022,battle_895614022.json,353614,771,895614022
